group,total_sample,sample_2018_no,sample_2017_no,two_sided_p_value,two_sided_t_statistic,two_sided_CI,Act_per_2018_Mean,Act_per_2017_Mean,two_sided_des,greater_p_value,greater_t_statistic,greater_CI,premium_2018_Mean,premium_2017_Mean,greater_des,y_2017,y_2018,y_score,not_equal_sig,greater_sig
"19-27_M_01 Single_1-60,000",723,392,331,0.0,11.54,"(1.9482666075384378, 2.747137373373704)",7.48,5.13,Two-Sample Welch's t-test,0.0,12.34,"(inf, 1427.5518490137963)",3810.23,2578.6,Two-Sample Welch's t-test,21.181686538883902,17.52042383751722,-3.6612627013666827,True,True
"1-18_M_01 Single_1-60,000",597,354,243,0.0,3.71,"(0.35225432765762943, 1.1457551495079255)",7.36,6.61,Two-Sample Welch's t-test,0.0,4.81,"(inf, 643.0240737797918)",3582.71,3126.17,Two-Sample Welch's t-test,13.549327804160258,15.904443921937455,2.355116117777198,True,True
"1-18_F_01 Single_1-60,000",495,309,186,0.0,4.54,"(0.63635594833814, 1.6065330104422455)",7.36,6.24,Two-Sample Welch's t-test,0.0,4.53,"(inf, 760.523203161233)",3441.12,2910.89,Two-Sample Welch's t-test,13.347903423231527,16.253341832172385,2.9054384089408583,True,True
"19-27_F_01 Single_1-60,000",415,266,149,0.0,6.05,"(1.0661879551541755, 2.0929171737916086)",7.46,5.88,Two-Sample Welch's t-test,0.0,6.5,"(inf, 1089.6812539274931)",3712.61,2876.11,Two-Sample Welch's t-test,15.55498205449857,16.398673300826747,0.8436912463281765,True,True
"1-18_M_01 Single_60,001-88,000",367,187,180,0.0,8.5,"(1.6883727303790659, 2.7062101618242123)",6.6,4.41,Two-Sample Welch's t-test,0.0,7.92,"(inf, 1805.2666468906564)",4536.1,3090.33,Two-Sample Welch's t-test,16.171571107118563,13.818567462954997,-2.353003644163565,True,True
"19-27_M_01 Single_60,001-88,000",359,205,154,0.0,6.61,"(1.5435028828880162, 2.85100638874992)",7.23,5.03,Two-Sample Welch's t-test,0.0,6.55,"(inf, 1937.6857482669084)",5025.29,3535.32,Two-Sample Welch's t-test,15.593409662105556,16.274158638865284,0.6807489767597291,True,True
"46-52_M_02 Maried_88,001-130,0000",224,121,103,0.0,5.04,"(1.0351094796593951, 2.3675345328234947)",9.42,7.71,Two-Sample Welch's t-test,0.0,4.93,"(inf, 2563.165535747932)",9907.56,8076.45,Two-Sample Welch's t-test,12.73109207687806,11.131080199877827,-1.6000118770002318,True,True
"39-45_M_02 Maried_60,001-88,000",208,89,119,0.0,8.89,"(2.6867288375967093, 4.228544062155619)",11.59,8.13,Two-Sample Welch's t-test,0.0,9.03,"(inf, 3176.305951945973)",8598.1,5993.54,Two-Sample Welch's t-test,14.65134819617738,10.117495431644027,-4.533852764533353,True,True
"53+_M_02 Maried_60,001-88,000",208,67,141,0.0,28.63,"(7.787587049404985, 8.948359994573797)",15.61,7.24,Two-Sample Welch's t-test,0.0,33.65,"(inf, 6625.853492234405)",11490.28,5234.04,Two-Sample Welch's t-test,20.71578947368421,8.63805659912027,-12.077732874563939,True,True
"53+_F_02 Maried_60,001-88,000",193,62,131,0.0,28.5,"(8.216768863995185, 9.449653966077154)",16.03,7.19,Two-Sample Welch's t-test,0.0,41.97,"(inf, 6733.637060751838)",11582.03,5152.67,Two-Sample Welch's t-test,17.36111111111111,7.044467831631092,-10.316643279480019,True,True
"1-18_F_01 Single_60,001-88,000",187,97,90,0.0,3.94,"(0.7530081180163606, 2.26838988345267)",6.8,5.29,Two-Sample Welch's t-test,0.0,3.53,"(inf, 1537.4827692743622)",4798.92,3813.0,Two-Sample Welch's t-test,13.57873744687923,10.959373366670905,-2.6193640802083253,True,True
"46-52_M_02 Maried_60,001-88,000",185,88,97,0.0,13.05,"(4.841437698158672, 6.575347052438436)",13.05,7.35,Two-Sample Welch's t-test,0.0,15.52,"(inf, 4829.34662864711)",9647.82,5365.74,Two-Sample Welch's t-test,13.402435102181023,10.548779881715621,-2.853655220465402,True,True
"53+_M_02 Maried_88,001-130,0000",170,85,85,0.0,8.16,"(2.3502090067139143, 3.8536047225842562)",10.72,7.62,Two-Sample Welch's t-test,0.0,8.09,"(inf, 4174.512167416254)",11486.08,8130.89,Two-Sample Welch's t-test,14.102160195819014,10.016036870028104,-4.0861233257909095,True,True
"19-27_M_01 Single_88,001-130,0000",163,90,73,0.0,5.31,"(1.537841885860943, 3.3596998877774995)",6.99,4.54,Two-Sample Welch's t-test,0.0,4.94,"(inf, 3592.7406953962964)",7429.0,4861.85,Two-Sample Welch's t-test,11.053391323034088,12.252235413121937,1.1988440900878485,True,True
"46-52_F_02 Maried_60,001-88,000",146,53,93,0.0,17.37,"(5.677190398838419, 7.1467890805723995)",13.76,7.35,Two-Sample Welch's t-test,0.0,22.28,"(inf, 5428.369968159029)",10259.83,5275.92,Two-Sample Welch's t-test,13.688202214278261,7.739520915469904,-5.948681298808357,True,True
"19-27_F_01 Single_60,001-88,000",145,103,42,0.0,4.45,"(1.1174432192328463, 2.9021712985216817)",6.69,4.68,Two-Sample Welch's t-test,0.0,4.31,"(inf, 2024.0354542325836)",4692.82,3305.0,Two-Sample Welch's t-test,8.517884427753538,15.265859220959857,6.7479747932063185,True,True
"53+_F_02 Maried_88,001-130,0000",143,62,81,0.0,7.61,"(2.4654420702198285, 4.205895717770905)",11.03,7.69,Two-Sample Welch's t-test,0.0,7.52,"(inf, 4272.464676859617)",11432.05,8050.77,Two-Sample Welch's t-test,12.118256846568334,7.4984633580994515,-4.619793488468884,True,True
"39-45_F_02 Maried_60,001-88,000",142,73,69,0.0,10.69,"(3.234799981048704, 4.707925098769408)",11.41,7.44,Two-Sample Welch's t-test,0.0,10.73,"(inf, 3616.8519939920834)",8325.82,5273.77,Two-Sample Welch's t-test,9.839747507141382,10.183223805406156,0.3434762982647735,True,True
"1-18_M_01 Single_88,001-130,0000",142,87,55,0.0,5.22,"(1.2810888496473782, 2.842999799992589)",6.12,4.06,Two-Sample Welch's t-test,0.0,5.03,"(inf, 3197.970133769533)",6664.66,4368.55,Two-Sample Welch's t-test,4.1548106627517,8.27395336790892,4.11914270515722,True,True
"39-45_M_02 Maried_88,001-130,0000",142,73,69,0.0,5.94,"(1.6927868088028277, 3.395547682297314)",9.51,6.96,Two-Sample Welch's t-test,0.0,6.95,"(inf, 3810.409156138796)",9939.23,6974.81,Two-Sample Welch's t-test,9.552291063605457,9.57842540087884,0.026134337273382713,True,True
"46-52_F_02 Maried_88,001-130,0000",133,74,59,0.0,4.86,"(1.1519478924577524, 2.7359883293582743)",10.18,8.24,Two-Sample Welch's t-test,0.0,5.34,"(inf, 2992.752983046509)",10523.22,8340.2,Two-Sample Welch's t-test,9.576341956164287,9.497913849192177,-0.07842810697210878,True,True
"53+_M_02 Maried_130,000-190,000",131,74,57,0.004,2.9,"(0.46911669641884135, 2.496346555773827)",8.58,7.09,Two-Sample Welch's t-test,0.001,3.14,"(inf, 4189.174644036162)",13464.09,10895.89,Two-Sample Welch's t-test,13.739878424953393,11.397031866501138,-2.3428465584522535,True,True
"1-18_M_01 Single_130,000-190,000",121,67,54,0.0,4.0,"(0.84075121180263, 2.4946264052626534)",5.75,4.09,Two-Sample Welch's t-test,0.0,3.64,"(inf, 3855.5350675693153)",9146.64,6650.56,Two-Sample Welch's t-test,5.060342823325513,7.183751411078328,2.123408587752815,True,True
"53+_M_02 Maried_190,001-300,0000",119,52,67,0.0,4.06,"(1.5009607413941797, 4.387052436239666)",8.46,5.52,Two-Sample Welch's t-test,0.0,3.93,"(inf, 10324.704005606694)",20349.0,13498.21,Two-Sample Welch's t-test,11.383433716779596,7.811785050334671,-3.571648666444924,True,True
"1-18_F_01 Single_88,001-130,0000",105,77,28,0.0,3.83,"(1.0347062964505336, 3.317998850078393)",6.59,4.41,Two-Sample Welch's t-test,0.0,3.91,"(inf, 3824.602830086509)",7347.08,4819.82,Two-Sample Welch's t-test,2.3469047047652833,8.04851087077141,5.701606166006128,True,True
"1-18_M_01 Single_190,001-300,0000",105,58,47,0.111,1.61,"(-0.15082432097582177, 1.4422491839806308)",4.5,3.85,Two-Sample Welch's t-test,0.093,1.33,"(inf, 3139.9593100272905)",10229.48,8969.04,Two-Sample Welch's t-test,4.541436589082647,5.724424684754309,1.1829880956716623,False,False
"19-27_M_01 Single_130,000-190,000",103,71,32,0.001,3.42,"(0.8444328835615134, 3.19656508939711)",6.26,4.24,Two-Sample Welch's t-test,0.002,2.95,"(inf, 4767.2113075526295)",9649.14,6802.97,Two-Sample Welch's t-test,6.006812660124416,11.262307815601613,5.255495155477197,True,True
